Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
TCGA.E2.A1B6	0.34284754539368034	0.15884851182528764	0.10194406625060101	0.4210861006689314	0	0.16738396701443087	0.2705630176692337	0.14587195338153303	0.3934950522435813	0.07914631714732007	0	0	0	0.2371972717807003	0.2884629962244111	0.09445703401359137	0	0.032150947798160745	0.056133965578536955	0	0	0	0	0.4731184238887084	2.78958874699
TCGA.LL.A441	0.7675132572879424	0.0990936872429361	0.1405462518500006	0.24249672306521827	0	0.23711982986427566	0.06370389932273123	0.16546793811108	0.19889055060421476	0	0	0.03029511977687347	0	0.36106597064724044	0.19395254804364617	0.13560463471566422	0.004147708173025128	0	0.03479605781015134	0	0	0	0	0.6340327781598194	2.6746941765149996
TCGA.A2.A04P	0.09369515232089361	0.029174171664584293	0.07166936169598395	0.07564754737854901	0	0.21925676005923975	0	0.14173624642808766	0.06317051024761032	0	0	0.015656793708021335	0.012816146426008241	0.04631253716218911	0.16919127286315602	0.07629089874034478	0.0065820737732822454	0.029762108363152347	0.04194300491389726	0	0	0	0.007	0.26006674547875075	1.092904585745
TCGA.BH.A0BL	0.31753348576854207	0	0.057010255047706626	0.051787974290502206	0	0.4051969236316178	0.07412502914916354	0.10232574667908259	0.03994950155614337	0.04175889298287362	0.011270266478204498	0	0.002276227065324473	0.14327474363771633	0.26014954792440265	0.1111929513286134	0.14388491623111807	0	0.058372233104306774	0	0	0.0005	0	0.4985079888998128	1.8206095732499996
TCGA.E2.A1LK	0	0.016551471881574346	0	0.018466612838062953	0	0.0013019464913283463	0	0.013267327890546774	0.0148419516802441	0	0	0.011473362047240213	0	0.2551322184196775	0.0043138004197259975	0.0605357061010605	0	0.025523489793699186	0	0.007868043953340086	0	0	0.095	0.10626073963192462	0.4292759315165
TCGA.E2.A159	0.11446698903979907	0	0.022976643109749628	0.292283687010559	0	0.28495099055873757	0.2105121657642885	0.030637160255175627	0.011729626266176798	0.030322149836594765	0	0.0012048651138830144	0	0.175483972869239	0.16030921935286796	0.2831667222150726	0.08531668887007192	0	0.125033537635651	0	0	0	0.032	0.16729559879501815	1.8284351051849999
TCGA.A2.A04T	0.11154423100347163	0	0.04411598854243851	0.19096375069892615	0	0.026870392001688066	0.09250789794891763	0.10482225369537676	0.031301351385864915	0	0	0.013560609923835898	0	0.20395017196437681	0.0867211428872279	0.10563262277063076	0.03470029866911788	0	0.009482342099140383	0	0	0	0.002	0.3671446078704147	1.0561793671650002
TCGA.A2.A3XY	0.12744749734996452	0	0	0.03267939300784506	0	0.16292799240746636	0.013821442746915154	0.1431391944898683	0.10803439843463557	0	0.011415458018602985	0	0	0.4616485277576775	0.19480061567687265	0.09699184660483032	0.012841127282128524	0	0.051455556063192964	0	0	0	0	0.49618680457493164	1.41720304984
TCGA.E2.A150	0.006490821588167663	0.0016426698597844477	0	0.005798545106355896	0	0.15416464466049518	0.007183609252561524	0.08355248258509713	0.047051662954251734	0.0002	0.009989456908676149	0	0	0.34139253634193134	0.13634659298666166	0.07580680964897525	0.013497722906578104	0	0.023464114053274265	0	0	0	0.002	0.3532013251229529	0.9065709120979999
TCGA.GM.A2DD	0.07059690988533349	0	0.0002	0.1974168122486501	0	0.3424006411749217	0.1199280416203335	0.06182190881969919	0.08854812109667608	0.030732595457668994	0	0.01703785009481352	0	0.21630530440936305	0.15100689205467588	0.23707120324476105	0.058031383859140646	0.03509430781636079	0.07011245073438485	0	0	0	0.044	0.15133632141344022	1.6963100119749999
