Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TCGA.C8.A12V	0.0028962263952682	0.019238056091463	0.028134083725982	0.20015754624002	0	0.079411814660989	0.036366409330817	0.069135256974813	0.047150818011127	0	0	0.043872775082578	0	0.097712971278792	0.19131198725655	0.09181419109307	0.062240527591438	0	0.030557336267092	0	0	0	0.041	0.1558027788736784	1.0382861962331658
TCGA.BH.A1F6	0.042203943893325	0	0.027214272615919	0.12641181563088	0	0.093193440511657	0.064516069815634	0.049270851537149	0.013604438373624	0.001	0.0001	0	0	0.26226993195904	0.087203026551395	0.20382146261222	0	0	0.015541766928203	0	0	0.013692750121221	0.017	0.2165722320059323	1.0030002493495165
TCGA.A8.A08R	0.031513569344612	0	0.013361393708687	0.065408777883011	0	0.12670630220655	0.056425163455656	0.052148009239849	0.028748516935285	0	0.017715638795629	0	0	0.31130164981667	0.14424979070997	0.11834438987475	0	0	0.034076798029336	0	0	0	0.038	0.15959397939502998	1.0360090188006674
TCGA.GM.A2DH	0.078936082125193	0	0	0.15386057770606	0	0.1883715424917	0.04813948612744	0.059767459276778	0.079441283054248	0.014566307625483	0	0.0057992546723739	0	0.13458448056034	0.092441777083022	0.088426302127807	0.02074154162816	0	0.034923905521397	0	0	0	0	0.4299103787474117	0.9021987243413924
TCGA.E2.A1AZ	0.092655932562565	0	0.023972723237795	0.081840087353425	0	0.32056521325314	0.07500703351022	0.05630325542728	0	0	0.015612009983337	0	0.033792476471383	0.035775257577418	0.1348231236579	0.060893798384214	0.014452068440903	0.013561606887166	0.040745413253255	0	0	0	0.002	0.3475598852400248	0.9427611471025876
TCGA.D8.A142	0.0046939105426282	0.014083662240932	0.1232173175834	0.089000406041989	0	0.11040036773558	0.015514471202549	0.05852518211837	0.025970484102373	0	0.011252618985247	0	0	0.31644127395823	0.069075761235153	0.11917707699705	0.019901598184848	0	0.022745869071646	0	0	0	0.013	0.24081164116622852	0.9953048634266322
TCGA.E2.A574	0	0.018433733832912	0.0050403904167644	0.16240629957587	0	0.076651556618439	0	0.024867031889598	0.043416076836863	0	0.01305639258475	0	0	0.59107608472227	0.0045895469254366	0.056661903345446	0	0	0.0038009832516496	0	0	0	0.043	0.1546186531609456	1.087703302229768
TCGA.A7.A6VV	0.05939292809999	0	0.031651415495065	0.020318695718686	0	0.075316564472784	0	0.024069385479713	0.039186366742564	0	0	0.0046036297162617	0	0.54947036974186	0.081822554819489	0.09222886012922	0	0	0.021939229584366	0	0	0	0	0.43097272195725245	0.9153719622880808
TCGA.A2.A0ST	0.046947697291265	0.051710747646629	0.038655535498745	0.15039973021862	0	0.13537186325568	0.016242650620602	0.09651448700845	0.055443171010153	0.0071254882163246	0	0.013296768176929	0	0.074337735098034	0.13785727532999	0.032026705079937	0.1002023710437	0.0095939670092764	0.032943202542448	0	0	0.0013306049532183	0.011	0.24576711470853896	0.9884683445412862
TCGA.E2.A1B6	0.12290254101563	0.056943344067002	0.036544478594058	0.15094916808913	0	0.060003098017599	0.096990288608374	0.052291562166262	0.14105844550318	0.028372037718004	0	0	0	0.085029476849102	0.10340699737037	0.033860558878262	0	0.011525336067136	0.02012266705589	0	0	0	0	0.4731184238887084	0.8802723769748385
TCGA.LL.A441	0.28695365026292	0.037048604701436	0.052546662375108	0.090663345811438	0	0.088653062449641	0.023817264748277	0.061864245850595	0.074360109036226	0	0	0.011326573349162	0	0.13499336627625	0.072513915701704	0.050699117643555	0.0015507224001323	0	0.013009359393562	0	0	0	0	0.6340327781598194	0.7839551266656556
TCGA.A2.A04P	0.085730404596138	0.026694161635983	0.065576961274372	0.069216973160546	0	0.20061839150376	0	0.12968766741103	0.057800572045865	0	0	0.014325855991672	0.011726683731748	0.042375645382272	0.15480882326779	0.069805635126272	0.0060225511532605	0.027232119575072	0.038377554144222	0	0	0	0.007	0.26006674547875075	0.9875558936709755
