Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
MB.4757	0.0087137126506037	0	0.029061441193011	0.025904574883465	0.038240239755942	0.075883029102262	0	0.10215484001877	0.0091521577438838	0.028381769922036	0	0.070470569155717	0.021686778311211	0.12397556237244	0.19265940164173	0.197682118851	0.0037242151372298	0	0.072309589260705	0	0	0	0.03	0.23829849634982794	0.9987357431661901
MB.4715	0	0	0.025015630439869	0.071053116170065	0	0	0.011307567948702	0.12620254357992	0.0273402110942	0.038717211735048	0	0.051133411791364	0	0.29516141617138	0.18764053544577	0.14286114806437	0.012602666743825	0	0	0.010964540815487	0	0	0	0.3274799818940308	0.9639137218036301
MB.5281	0	0	0.024496831692212	0	0	0.078634860794876	0	0.075025162514042	0.042118340082628	0	0	0.031642417383007	0	0.45868760648898	0.051475088347143	0.18280640230189	0	0	0.048709506277304	0.0064037841179192	0	0	0.05	0.17453182936415979	1.0500781258988285
MB.5323	0.028293326952238	0.038639929227379	0.0096790197795346	0.079201699766175	0.061994214458323	0.070310804629111	0	0.066513959547038	0.024586033916985	0.057013514295259	0	0.10108764584262	0.042922661463406	0.15604682883809	0.11821849204851	0.079598050410878	0	0	0.065893818824445	0	0	0	0	0.564702927705178	0.8316292233991027
MB.4911	0.037508490291273	0	0.070459280761005	0.062970430327578	0	0	0	0.081821449808245	0.0098902168359324	0	0	0.098482050246161	0.0132589109294	0.13318133183867	0.11349944890442	0.14912737669707	0	0	0	0.22540162288583	0	0.0043993904744132	0.05	0.1738079466600142	1.0401510118439572
MB.4888	0.046650984328581	0	0.10549544433762	0.051781047168229	0	0.077055149290166	0	0.039018576469135	0	0.015504756000327	0	0	0.0082697619976042	0.26327167279952	0.25755196073767	0.097496227456919	0.013537256408869	0	0.024349111135344	0	0	0	0	0.5868144989163212	0.809443371706936
MB.4945	0.0086858587937833	0	0.078710259209648	0.076937809317328	0.02484010349743	0.11120609073892	0	0.081425593141041	0.018326117966562	0.026867060840241	0	0.016024732324602	0.014397478251658	0.27581570941866	0.13774379297718	0.072080680579398	0.0037160722695802	0	0.053222640673973	0	0	0	0.01	0.2811959243568576	0.9755284371561569
MB.5072	0	0.044681290032407	0	0.058899622647635	0	0.14609789096412	0	0.010338920912986	0	0	0	0.068783547846453	0.016416274550904	0.18092031083967	0.054505419817119	0.26149391211665	0.015368327398311	0	0.14249448287375	0	0	0	0.06	0.13672371130287952	1.0309923323658952
MB.5115	0.025399561964667	0	0.024651507571421	0	0.050741568463576	0.002601470987706	0	0.094336996327159	0.035531134978675	0.037423752995584	0.048753812281122	0	0.019923705666092	0.29994181416458	0.22009432787564	0.11611115028526	0	0	0.024489196438512	0	0	0	0	0.30857293881060727	0.9755508814700985
MB.4733	0.097358891152588	0	0	0.14967952047231	0	0.016428236283319	0.040224030908314	0.10162872696924	0.014437557935136	0	0	0.068580787173003	0.015101143491159	0.14642501534776	0.13472373030344	0.13327521038295	0	0	0.082137149580782	0	0	0	0	0.533498640109994	0.8497620023522129
MB.4758	0.068280092537895	0	0.013185104690441	0.038776556306106	0	0.0060189609088158	0	0.085193400765974	0.0049488809470984	0	0.024523364555739	0	0	0.42393048507741	0.012982444823769	0.21125565796648	0	0.030698161225653	0	0.073500272978563	0	0.0067066172160469	0	0.3688452908082786	0.9444232108526442
MB.4732	0	0	0.05803693674963	0.15522798499455	0	0	0.0060574303845293	0.081871762136221	0.0015299611598929	0.0069117882053417	0	0.10661141691331	0.040844339811225	0.21246127477762	0.19278474988915	0.11143550640656	0.010216303780582	0.002170581278729	0.01383996351265	0	0	0	0	0.4460972348093729	0.8965488229532024
MB.5236	0.11124775808218	0	0.035438974992441	0.089331271656549	0.24409769514304	0	0	0.075840686950334	0.015774576042011	0	0.041035405652347	0.018657220611724	0.01427200006521	0.16667210277139	0.090571577354218	0.086427768306196	0	0	0.010632962372367	0	0	0	0.01	0.29301044157677814	0.9702598713332116
MB.4993	0.011256106925455	0	0.020161101763543	0	0	0.041003953205628	0	0.068334451677471	0.02274323470802	0.03015708955267	0.0078333385641023	0.021205129955964	0	0.48151325582833	0.073938925224223	0.16414803947339	0	0	0.057705373121202	0	0	0	0.01	0.26210236922586405	1.0070192116715408
