Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
MB.0115	0.029673878355253896	0	0.035762158841503695	0	0	0.052013913319696264	0.021134425297270703	0.12308830699818726	0	0.1251635175486523	0	0.07564038555731063	0	0.34182558808748337	0.2933305395190047	0.015142391247276604	0	0	0.09323276296908882	0	0	0	0	0.41050758652867925	1.2060078677407282
MB.0354	0.054761073523756504	0	0.025136538239544686	0.17850117932304682	0	0	0.11157006569584017	0.1740945082979272	0	0.2815489803193491	0	0.10719694387352167	0.013992125105159325	0.17775391110601874	0.20150854828724485	0.1777894337381714	0.008944994573382188	0	0.2764090400213547	0	0	0	0	0.5374562877747963	1.7892073421043173
MB.0481	0.0026344992836481603	0	0	0.16065732384113915	0	0.024858277267876604	0	0.1731594525730496	0.009287636549146248	0.10732279223602066	0	0.11574589368480988	0.014981708277480979	0.11139820708548755	0.1725371608409506	0.2331431628710198	0.05876003338561866	0	0	0.023930866408253218	0	0	0.01	0.2851211500611816	1.2084170143045012
MB.0238	0.044642576523992616	0	0.11300028906504395	0.04728501225192608	0.058651190325949384	0	0.015786471436287423	0.17449202192052937	0.006689406714630143	0.10345778019815985	0.009098064021496885	0.029282809453407145	0.07448077243386589	0.15853764511072438	0.2933466356632377	0.18805764812081902	0.006480188706119384	0	0.12727794589914482	0	0	0	0	0.4376724868016971	1.4505664578453341
MB.0525	0	0	0.028955961373501038	0	0	0.06939732547181582	0	0.10609824206516479	0	0	0.01694314275854879	0.016254312583013564	0	0.35231500756914585	0.03888511417842925	0.2286174496515418	0.0066877069883198356	0	0.1515927717469741	0.07102051385443019	0	0	0.05	0.1743546686949614	1.086767548240885
MB.0869	0.020625663568801644	0	0	0.058665065098658944	0	0.002514905631247219	0.0949304349858237	0.146653423705894	0	0.08164078106975209	0	0.040249241629132675	0	0.3637336027319799	0.18388684455268048	0.1353928331680883	0.02294475217391742	0	0	0.02467339169079183	0	0.011825983003554558	0	0.3772640704672321	1.1877369230103227
MB.4622	0.02338699410880675	0	0.0730094248958431	0	0	0.039677721657877044	0.04654963998681857	0.05724742014510288	0.024433499917678802	0.24784471611514594	0	0.08203138403662495	0.026849081592342124	0.4867266367689767	0.15578216521149157	0.07267430195836196	0	0	0.04496668611972466	0	0	0	0.01	0.3008658220116617	1.3811796725147951
MB.4717	0.03449758500910324	0	0	0.05445654516348881	0	0	0	0.05018724571891458	0.06988276909319087	0	0	0.09562522905997513	0	0.40388634809690305	0.04293122133282884	0.1813511363389491	0	0	0	0.10629433555974745	0	0.003245594855653116	0.05	0.2033810892778437	1.0423580102287542
MB.4757	0.010780473747246588	0	0.035954376326227104	0.032048748984788974	0.04731024734316741	0.09388133805879063	0	0.12638442591978222	0.011322911397791372	0.03511349729023954	0	0.08718512432058519	0.026830554738360223	0.15338069420542466	0.23835530328338517	0.24456933319067545	0.0046075427462279935	0	0.08946033223223306	0	0	0	0.03	0.23829849634982794	1.2371849037849256
MB.4715	0	0	0.02990145083286414	0.08493055031284905	0	0	0.013516057005643586	0.15085125121703855	0.03268004697136978	0.046279097617144827	0	0.06112031444785151	0	0.35280960016664953	0.22428874052846687	0.1707634594715286	0.01506410245823228	0	0	0.013106033001538647	0	0	0	0.3274799818940308	1.1953107040311775
MB.5281	0	0	0.02524781941782901	0	0	0.08104553234638513	0	0.07732517326107866	0.043409542015303115	0	0	0.03261246393278308	0	0.47274937442263393	0.05305313566401385	0.18841061128768077	0	0	0.05020277045916642	0.0066001018838442215	0	0	0.05	0.17453182936415979	1.0306565246907182
MB.5323	0.046688240157343665	0.06376168834708036	0.01597183677682878	0.13069470358842242	0.1022997676406929	0.11602339087663839	0	0.10975802606707438	0.040570649679004846	0.09408086408942783	0	0.1668098026792025	0.0708288399585819	0.25750071148873677	0.19507827259471563	0.131348741698455	0	0	0.10873470070711669	0	0	0	0	0.564702927705178	1.6501502363493221
MB.4911	0.04401862092947006	0	0.08268848857143606	0.07389984189793308	0	0	0	0.09602272325651952	0.011606804284321233	0	0	0.11557500727112344	0.01556018303073754	0.15629684147677544	0.13319888852443965	0.17501054865335486	0	0	0	0.26452327240180495	0	0.005162967107182429	0.05	0.1738079466600142	1.1735641874050982
MB.4888	0.061738933391767524	0	0.13961497929433334	0.06852817080038932	0	0.10197647055013372	0	0.05163803783221944	0	0.02051933333748162	0	0	0.010944383971402167	0.3484194922110255	0.3408499001201216	0.12902864065021724	0.017915501328927008	0	0.03222414643913025	0	0	0	0	0.5868144989163212	1.3234218801669122
MB.4945	0.010298371471986468	0	0.09332266471767454	0.09122116297329161	0.029451620074944413	0.13185128374369773	0	0.09654209507682188	0.021728325884618597	0.031854878079677434	0	0.018999692504328515	0.017070341898896675	0.32702035582662736	0.1633156584418207	0.08546231779539629	0.004405953810379162	0	0.06310331970546464	0	0	0	0.01	0.2811959243568576	1.185648042005626
MB.5072	0	0.04682432757518107	0	0.061724610522818406	0	0.15310514758157912	0	0.01083480399183659	0	0	0	0.07208259595480461	0.017203644222853032	0.18959774647544517	0.0571196496405651	0.27403587924576206	0.016105434642983883	0	0.1493289101298816	0	0	0	0.06	0.13672371130287952	1.0479627499837105
