Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	Absolute score
MB.3014	0.032409187371274996	0	0.10829839258087137	0.07857086222724265	0	0.07002498686713783	0	0.1181104389602865	0	0.07633618605640138	0	0.039847306356330964	0.09321141245423828	0.2204206780618859	0.30626686885994997	0.107851967481611	0	0	0	0.056737896433024876	0	0	0.001	0.41579448907667416	1.3080861837102558
MB.3277	0	0.01647207164741667	0.051500438766896854	0.08325322188714723	0	0.014612294250938582	0.03836012127719989	0.16263297837580115	0.010220731049058334	0	0.04875845117000007	0.05800368778064316	0.05948056645476626	0.19622538763102657	0.28454988529415776	0.2261699690217201	0.003590015671754913	0	0.08173520726016395	0	0	0	0.001	0.43805906692998503	1.3355650275386914
MB.3271	0.005819483447656981	0	0.07273077268465415	0	0	0.14072113226232383	0.08621475714990455	0.1355083044923548	0	0	0.02172550832545654	0.09004771991328483	0.018399358341003626	0.05505432524672229	0.2797029267710242	0.21599571223186503	0.10367276680403748	0	0.1240195712492691	0	0	0	0.001	0.43891543122879495	1.3496123389195573
MB.3292	0.023626708643604485	0	0.36561395557527215	0.07552757996664493	0.03261899884388428	0.05693654921305137	0.0077183044313822585	0.14188093331584473	0	0.03564040792088556	0	0.11484443161136779	0	0.2770865419671619	0.22134688160283117	0.14409315083260826	0	0	0.027908519049371187	0	0	0	0	0.5659782016872444	1.5248429629739102
MB.2917	0	0	0.04521369455656941	0.0016307171251454383	0	0.035852154611437974	0.03278783529581464	0.1633524838056322	0	0.1237218985057988	0	0.05894213560512278	0.03428256882503215	0.21592410431926815	0.27500643859976887	0.18412561283861162	0	0.04412787194514406	0.05025792092459921	0	0	0	0.002	0.37720671606041	1.2652254369579452
MB.3706	0	0	0.0468246425532326	0.019303415682415108	0	0.045714222599909565	0.008774361963677011	0.05411065466595737	0.040805476758875484	0	0.05712116100082097	0.020541180166957492	0.0113109040609371	0.433639182641502	0.11617050570375034	0.3384040752104736	0	0.03326790549433007	0	0.01483976453060435	0	0.0005999999999999999	0.001	0.40672959103621587	1.2414442691382062
MB.3453	0.03297919646402117	0	0.19675457868746693	0.06369808182895323	0	0.012125268287824943	0	0.08853507946401873	0.026885112478281608	0.038296711166762955	0	0.05729554025250372	0	0.17455907642454907	0.14830033816433635	0.197472604404129	0	0	0.1527063773754266	0.0005999999999999999	0	0	0.013	0.23606766821155878	1.190248728936477
MB.2842	0	0	0.17084732586431106	0.010846287712340601	0	0.0961239740291773	0.04959050549568975	0.06063250291085448	0	0	0.009617925161247333	0.07609733127277335	0.08365390664856551	0.14851865647701626	0.1486882280486347	0.16590756136427276	0	0.0028405807345472846	0.15303600154561786	0	0	0	0.037	0.17778003840778003	1.1764007872650482
MB.2912	0.04049042663988822	0	0.09236568127019316	0.22299931973553652	0	0	0.026732826601392604	0.1912481574962616	0	0.11384304827545942	0	0.18702112498187626	0.02248753906025275	0.11409889566713217	0.18931663690910872	0.09645022727011905	0.04355488262924504	0	0.041987767480091316	0	0	0	0.002	0.3747416789518917	1.382596534016557
MB.2849	0.04673236710426217	0	0	0.11619611137447733	0	0.1163600246280293	0.04304190243311701	0.17655469897626008	0	0.10039919318318934	0	0.07016710132235185	0	0.20498479399157493	0.22685413819262837	0.09881208450149151	0.05476633413861011	0	0.1562528625546869	0	0	0	0	0.5126299840182437	1.411121612400679
