Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
MB.0446	0	0	0.02380377837045	0.0038136958927441	0	0.065560322482724	0	0.044665611455704	0	0.017388421927945	0	0.069796347663534	0.20572095040329	0.22462190824436	0.16684760266046	0.14489726815077	0	0	0.032839334194413	0	0	0	0.002	0.40475144033281807	0.916813984744619
MB.0115	0.024214018281747	0	0.030086552228888	0	0	0.045358604674649	0.017052115780058	0.10066452157658	0	0.10368934422408	0	0.065698340569167	0	0.28030101135914	0.24027590696868	0.014615644117435	0	0	0.078043940219578	0	0	0	0.001	0.4215268737299043	0.9143902214751627
MB.0354	0.032269156784101	0	0.014386133935562	0.098681076277593	0	0	0.065683301261262	0.096146826647906	0	0.16672097482351	0	0.053672700988334	0.0065821322790384	0.099235086784858	0.11400878118221	0.098047073263989	0.0044257991095751	0	0.15014095666206	0	0	0	0	0.5523622560684843	0.8389232260597401
MB.0481	0.0044656003135387	0	0	0.13000172083805	0	0.024787045402474	0	0.14308815353536	0.0088856624159343	0.084890662612823	0	0.096283996898767	0.012442492506825	0.094851977284682	0.14660496779732	0.18708951239268	0.048231995119416	0	0	0.01837621288214	0	0	0.009	0.2814266767043304	0.9826525296550086
MB.0238	0.030181966482567	0	0.077450235669867	0.036269777607253	0.039210193350297	0	0.0091593156077997	0.121166707976	0.004767644666157	0.074482282761616	0.0012825449864145	0.020852946622345	0.055538988937599	0.10546119181447	0.20121609194181	0.1300690789084	0.004297074235906	0	0.088593958431498	0	0	0	0.001	0.43468255207372786	0.899996243933576
MB.0525	0	0	0.027403657278845	0	0	0.069974563930055	0	0.096204674956388	0	0	0.015374164500821	0.017306760563985	0	0.31992709418357	0.034840960903421	0.20954307014833	0.0060492967056848	0	0.14213603833704	0.061239718491863	0	0	0.036	0.1799297219438259	1.028861775970937
MB.0869	0.017655547858954	0	0	0.048489701459131	0	0.0024440673849521	0.080555064314771	0.12219152556191	0	0.069487372632041	0	0.034117236501177	0	0.30508112040039	0.15412957502283	0.1144502470276	0.019146587473918	0	0	0.02197504104668	0	0.010276913315657	0.002	0.3720886967837206	0.935653646769174
MB.4622	0.016904780939693	0	0.051895687868262	0	0	0.0286283046894	0.034069999272036	0.038115667527106	0.019260587155731	0.18002372676435	0	0.060455619368818	0.018940883747427	0.35226067325764	0.1114801422313	0.053004227321709	0	0	0.034959699856529	0	0	0	0.008	0.2887155703329639	0.9781548613143152
MB.4717	0.036294147715916	0	0	0.053749059335197	0	0	0	0.048017112149339	0.066056588385845	0	0	0.092202392603184	0	0.38505963216537	0.04002730623872	0.17164945577439	0	0	0	0.10399588716734	0	0.0029484184647091	0.029	0.19959462282776586	1.0339669429739873
MB.4757	0.0087648024552152	0	0.029003116680549	0.023251078478778	0.03894531803292	0.077299591596445	0	0.10404513744327	0.0090104966251977	0.028469749897104	0	0.069407208204532	0.021625618275618	0.12383913392747	0.19335559716775	0.19771283104471	0.0035868162264689	0	0.071683503943969	0	0	0	0.013	0.23784001847403272	0.9990294936408133
MB.4715	0	0	0.024701484603806	0.07920277838478	0	0	0.018161059535116	0.12848159700216	0.024851838572955	0.034368010564769	0	0.046673962703361	0	0.29841621627853	0.18348204565825	0.13871086963572	0.012755360022005	0	0	0.010194777038535	0	0	0.006	0.31115025961787296	0.9720149047080625
MB.5281	0	0	0.026681547295578	0	0	0.073531444152113	0	0.087840150974131	0.042776046402562	0	0	0.031468771493636	0	0.44855618458224	0.052400055236755	0.17993671484117	0	0	0.048399781380684	0.0084093036411295	0	0	0.041	0.1752266530731881	1.047243962120747
MB.5323	0.042206322157893	0.023028824616343	0.032532002291516	0.20871680076642	0.011477064093997	0.050192172771277	0	0.11077917510169	0.003091841795055	0	0	0.088048877929909	0.031270947380937	0.16487300718971	0.10248659287649	0.087919244639327	0.0042349350686244	0	0.039142191320809	0	0	0	0	0.5660937306066601	0.8300167416327445
MB.4911	0.03712202081478	0	0.070973406313554	0.061961231877265	0	0	0	0.081384230699191	0.010591303895922	0	0	0.097911631890954	0.013685162262306	0.13488723288293	0.11361010610637	0.15395709221734	0	0	0	0.21945637027019	0	0.0044602107692083	0.042	0.17029954691905305	1.0407857895875627
MB.4888	0.0471920865319	0	0.10609688076794	0.058875041593497	0	0.069359084291917	0	0.039127672232765	0	0.009417544447977	0.0077147483330462	0	0.0095975188065613	0.26416996508882	0.25426281020556	0.096629975326237	0.013456719311547	0	0.024099953062228	0	0	0	0	0.5865419919327138	0.8097589058542601
MB.4945	0.0054357946478945	0	0.078117427731354	0.077855404377089	0.035506324693638	0.1078662273607	0	0.081503210685334	0.018278067745077	0.025486942505504	0	0.016045609492514	0.014877061758647	0.27422139845352	0.13479738197261	0.072991897736706	0.0044701136704732	0	0.052547137168942	0	0	0	0.009	0.27924647276715614	0.9762984248711684
MB.5072	0.0072644573136031	0	0	0.038972392267141	0	0.12994919321899	0	0.019376915933287	0	0.055099727945567	0	0.05384020126067	0	0.15025028558388	0.065513107835947	0.32029353940994	0.026952821458462	0	0.12835405175728	0	0	0.0041333060152271	0.061	0.14629244709335967	1.030190258050191
MB.5115	0.026118216676686	0	0.025072239846069	0	0.04924156069904	0.0050409828136483	0	0.091182076978304	0.037859692905859	0.036815292569533	0.048888433815516	0	0.022056649718801	0.29676071954539	0.21988314192003	0.11586407984749	0	0	0.025216912663636	0	0	0	0.006	0.3048433996073317	0.977148248842005
MB.4733	0.10112021980965	0	0	0.15467066480419	0	0.011910533081596	0.038877047204774	0.1023869104461	0.0090568206076043	0	0	0.069771117065055	0.015276842796602	0.14671677914682	0.13411289313194	0.13335191558827	0	0	0.082748256317391	0	0	0	0	0.5388242736043862	0.8469468227699277
MB.4758	0.067394488034921	0	0.012712341349507	0.036940907137068	0	0.0050892826157666	0	0.086579276722972	0.0049696124664916	0	0.024740565925014	0	0	0.42866271257018	0.013397383487111	0.20993229707161	0	0.030069785585094	0	0.073056068867805	0	0.0064552781664603	0.003	0.36438224878117303	0.9474422645361827
MB.4732	0	0	0.058463594579389	0.15298700786921	0	0	0.0073028879807256	0.08253725578245	0.0019072679502855	0.011731903020971	0	0.10231952087467	0.045617762818944	0.21058221191877	0.19195684788121	0.11038482627159	0.010216995031477	0.0027338751220361	0.01125804289828	0	0	0	0.001	0.4513810432221736	0.8933859672931782
MB.5236	0.11052448946439	0	0.034597037234549	0.09193965920706	0.24024388083386	0	0	0.080028900609817	0.016267520888544	0	0.040089131955834	0.020098603694341	0.014733031011633	0.16429349756563	0.090513045893196	0.086309519543473	0	0	0.010361682097663	0	0	0	0.007	0.2921934551785328	0.9707505212715599
MB.4993	0.011267769740908	0	0.02018537621089	0	0	0.038658296008588	0	0.069229819424871	0.023528519680294	0.030346143267923	0.0083233789935876	0.021610852818852	0	0.4868500895942	0.074564754550217	0.15619265544622	0	0	0.059242344263445	0	0	0	0.01	0.27433964387165866	1.0006550115032686
MB.5232	0.0045183139255853	0	0.02305914796468	0.11385438219263	0	0.078842516933443	0	0.13662164418935	0.067540943679939	0.066090949315169	0	0.026487922155961	0.034454127360769	0.17511027958649	0.131055322144	0.099539693372851	0.012814369730567	0	0.03001038744857	0	0	0	0.006	0.31405977906768573	0.9602625052540683
MB.5126	0.08937168525815	0	0.012972402243622	0.056405106238779	0.087642822388077	0.034612282888219	0	0.052887953805286	0.070231355779197	0.058644218177088	0	0.064049712667627	0	0.20809655657421	0.14010800180518	0.099045100815536	0	0	0.025932801359024	0	0	0	0.003	0.35530691145750165	0.9407480574080836
MB.4938	0.0071905915540793	0	0.0217496619535	0.01399260573443	0	0.15396322452319	0	0.041294660674453	0.027923413059058	0	0.0019987034650082	0.022694835833053	0.026599081259805	0.32490270235084	0.058005274872997	0.18727360518725	0.0016656001880922	0	0	0.11074603934424	0	0	0.094	0.11519959062981754	1.0619683249018408
